condition_id,method,bit_width,seed,task_id,length,position_fraction,target,prediction,correct,target_logit,target_margin
learned_b2_s29,learned,2,29,length512_case1,512,0.5,telescope,telescope,1,14.5,4.3125
learned_b2_s29,learned,2,29,length1024_case0,1024,0.1,violin,cinnamon,0,11.875,-0.25
learned_b2_s29,learned,2,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.5,6.0625
learned_b2_s29,learned,2,29,length2048_case0,2048,0.1,avocado,avocado,1,15.75,8.78125
learned_b2_s29,learned,2,29,length2048_case1,2048,0.5,telescope,telescope,1,16.875,3.0
random_b2_s43,random,2,43,length512_case0,512,0.1,avocado,avocado,1,19.5,12.75
random_b2_s43,random,2,43,length512_case1,512,0.5,telescope,telescope,1,14.0625,4.5
random_b2_s43,random,2,43,length1024_case0,1024,0.1,violin,violin,1,19.375,6.6875
random_b2_s43,random,2,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,17.25,5.8125
random_b2_s43,random,2,43,length2048_case0,2048,0.1,avocado,avocado,1,17.0,8.25
random_b2_s43,random,2,43,length2048_case1,2048,0.5,telescope,telescope,1,11.8125,1.6875
learned_b2_s43,learned,2,43,length512_case0,512,0.1,avocado,avocado,1,15.0,6.8125
learned_b2_s43,learned,2,43,length512_case1,512,0.5,telescope,telescope,1,16.625,9.375
learned_b2_s43,learned,2,43,length1024_case0,1024,0.1,violin,cinnamon,0,14.375,-2.375
learned_b2_s43,learned,2,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.0,8.375
learned_b2_s43,learned,2,43,length2048_case0,2048,0.1,avocado,avocado,1,15.9375,5.1875
learned_b2_s43,learned,2,43,length2048_case1,2048,0.5,telescope,telescope,1,17.0,10.03125
identity_b3_snone,identity,3,,length512_case0,512,0.1,avocado,avocado,1,16.25,5.5625
identity_b3_snone,identity,3,,length512_case1,512,0.5,telescope,telescope,1,16.375,5.0
identity_b3_snone,identity,3,,length1024_case0,1024,0.1,violin,violin,1,15.4375,3.5625
identity_b3_snone,identity,3,,length1024_case1,1024,0.5,cinnamon,cinnamon,1,15.0,1.8125
identity_b3_snone,identity,3,,length2048_case0,2048,0.1,avocado,avocado,1,16.375,4.25
identity_b3_snone,identity,3,,length2048_case1,2048,0.5,telescope,telescope,1,14.6875,1.875
random_b3_s17,random,3,17,length512_case0,512,0.1,avocado,avocado,1,19.0,11.46875
random_b3_s17,random,3,17,length512_case1,512,0.5,telescope,telescope,1,19.625,12.03125
random_b3_s17,random,3,17,length1024_case0,1024,0.1,violin,avocado,0,16.375,0.0
random_b3_s17,random,3,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.375,12.25
random_b3_s17,random,3,17,length2048_case0,2048,0.1,avocado,avocado,1,20.25,9.375
random_b3_s17,random,3,17,length2048_case1,2048,0.5,telescope,telescope,1,20.25,12.0
learned_b3_s17,learned,3,17,length512_case0,512,0.1,avocado,avocado,1,19.125,11.125
learned_b3_s17,learned,3,17,length512_case1,512,0.5,telescope,telescope,1,19.125,10.1875
learned_b3_s17,learned,3,17,length1024_case0,1024,0.1,violin,violin,1,19.0,6.6875
learned_b3_s17,learned,3,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,19.375,12.1875
learned_b3_s17,learned,3,17,length2048_case0,2048,0.1,avocado,avocado,1,20.125,12.65625
learned_b3_s17,learned,3,17,length2048_case1,2048,0.5,telescope,telescope,1,19.25,9.5625
random_b3_s29,random,3,29,length512_case0,512,0.1,avocado,avocado,1,19.375,12.71875
random_b3_s29,random,3,29,length512_case1,512,0.5,telescope,telescope,1,19.375,9.8125
random_b3_s29,random,3,29,length1024_case0,1024,0.1,violin,violin,1,19.625,5.875
random_b3_s29,random,3,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.125,11.75
random_b3_s29,random,3,29,length2048_case0,2048,0.1,avocado,avocado,1,20.0,12.40625
random_b3_s29,random,3,29,length2048_case1,2048,0.5,telescope,telescope,1,21.25,12.25
learned_b3_s29,learned,3,29,length512_case0,512,0.1,avocado,avocado,1,18.625,12.375
learned_b3_s29,learned,3,29,length512_case1,512,0.5,telescope,telescope,1,18.875,10.375
learned_b3_s29,learned,3,29,length1024_case0,1024,0.1,violin,violin,1,19.625,7.375
learned_b3_s29,learned,3,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.125,11.5
learned_b3_s29,learned,3,29,length2048_case0,2048,0.1,avocado,avocado,1,19.25,11.40625
learned_b3_s29,learned,3,29,length2048_case1,2048,0.5,telescope,telescope,1,19.375,10.5625
random_b3_s43,random,3,43,length512_case0,512,0.1,avocado,avocado,1,19.375,12.9375
random_b3_s43,random,3,43,length512_case1,512,0.5,telescope,telescope,1,17.625,8.6875
random_b3_s43,random,3,43,length1024_case0,1024,0.1,violin,violin,1,18.875,5.4375
random_b3_s43,random,3,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.625,10.5625
random_b3_s43,random,3,43,length2048_case0,2048,0.1,avocado,avocado,1,20.375,14.0
random_b3_s43,random,3,43,length2048_case1,2048,0.5,telescope,telescope,1,17.625,8.0625
learned_b3_s43,learned,3,43,length512_case0,512,0.1,avocado,avocado,1,19.875,11.6875
learned_b3_s43,learned,3,43,length512_case1,512,0.5,telescope,telescope,1,19.5,7.125
learned_b3_s43,learned,3,43,length1024_case0,1024,0.1,violin,violin,1,20.25,7.375
learned_b3_s43,learned,3,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.625,10.75
learned_b3_s43,learned,3,43,length2048_case0,2048,0.1,avocado,avocado,1,20.625,12.25
learned_b3_s43,learned,3,43,length2048_case1,2048,0.5,telescope,telescope,1,18.75,7.375
identity_b4_snone,identity,4,,length512_case0,512,0.1,avocado,avocado,1,17.375,13.578125
identity_b4_snone,identity,4,,length512_case1,512,0.5,telescope,telescope,1,15.8125,4.875
identity_b4_snone,identity,4,,length1024_case0,1024,0.1,violin,violin,1,17.375,9.90625
identity_b4_snone,identity,4,,length1024_case1,1024,0.5,cinnamon,cinnamon,1,18.875,12.21875
identity_b4_snone,identity,4,,length2048_case0,2048,0.1,avocado,avocado,1,18.25,14.546875
identity_b4_snone,identity,4,,length2048_case1,2048,0.5,telescope,telescope,1,15.25,3.875
random_b4_s17,random,4,17,length512_case0,512,0.1,avocado,avocado,1,19.5,11.5625
random_b4_s17,random,4,17,length512_case1,512,0.5,telescope,telescope,1,19.125,10.6875
random_b4_s17,random,4,17,length1024_case0,1024,0.1,violin,violin,1,20.375,8.5
random_b4_s17,random,4,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.875,12.0
random_b4_s17,random,4,17,length2048_case0,2048,0.1,avocado,avocado,1,20.625,12.71875
random_b4_s17,random,4,17,length2048_case1,2048,0.5,telescope,telescope,1,19.75,11.3125
learned_b4_s17,learned,4,17,length512_case0,512,0.1,avocado,avocado,1,19.375,11.65625
learned_b4_s17,learned,4,17,length512_case1,512,0.5,telescope,telescope,1,19.875,12.21875
learned_b4_s17,learned,4,17,length1024_case0,1024,0.1,violin,violin,1,19.625,7.0
learned_b4_s17,learned,4,17,length1024_case1,1024,0.5,cinnamon,cinnamon,1,21.125,11.5
learned_b4_s17,learned,4,17,length2048_case0,2048,0.1,avocado,avocado,1,19.625,11.75
learned_b4_s17,learned,4,17,length2048_case1,2048,0.5,telescope,telescope,1,20.0,11.0
random_b4_s29,random,4,29,length512_case0,512,0.1,avocado,avocado,1,19.625,11.5625
random_b4_s29,random,4,29,length512_case1,512,0.5,telescope,telescope,1,19.25,10.1875
random_b4_s29,random,4,29,length1024_case0,1024,0.1,violin,violin,1,19.125,5.875
random_b4_s29,random,4,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.125,10.25
random_b4_s29,random,4,29,length2048_case0,2048,0.1,avocado,avocado,1,20.25,12.84375
random_b4_s29,random,4,29,length2048_case1,2048,0.5,telescope,telescope,1,20.875,11.5625
learned_b4_s29,learned,4,29,length512_case0,512,0.1,avocado,avocado,1,19.375,11.9375
learned_b4_s29,learned,4,29,length512_case1,512,0.5,telescope,telescope,1,19.375,10.9375
learned_b4_s29,learned,4,29,length1024_case0,1024,0.1,violin,violin,1,19.5,7.0625
learned_b4_s29,learned,4,29,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.5,11.1875
learned_b4_s29,learned,4,29,length2048_case0,2048,0.1,avocado,avocado,1,20.375,12.9375
learned_b4_s29,learned,4,29,length2048_case1,2048,0.5,telescope,telescope,1,20.0,11.3125
random_b4_s43,random,4,43,length512_case0,512,0.1,avocado,avocado,1,19.625,13.15625
random_b4_s43,random,4,43,length512_case1,512,0.5,telescope,telescope,1,19.125,9.5
random_b4_s43,random,4,43,length1024_case0,1024,0.1,violin,violin,1,19.75,7.9375
random_b4_s43,random,4,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.125,11.875
random_b4_s43,random,4,43,length2048_case0,2048,0.1,avocado,avocado,1,20.0,12.46875
random_b4_s43,random,4,43,length2048_case1,2048,0.5,telescope,telescope,1,19.75,10.375
learned_b4_s43,learned,4,43,length512_case0,512,0.1,avocado,avocado,1,19.125,11.0
learned_b4_s43,learned,4,43,length512_case1,512,0.5,telescope,telescope,1,18.625,8.6875
learned_b4_s43,learned,4,43,length1024_case0,1024,0.1,violin,violin,1,20.25,7.5625
learned_b4_s43,learned,4,43,length1024_case1,1024,0.5,cinnamon,cinnamon,1,20.375,10.5
learned_b4_s43,learned,4,43,length2048_case0,2048,0.1,avocado,avocado,1,19.75,12.5625
learned_b4_s43,learned,4,43,length2048_case1,2048,0.5,telescope,telescope,1,19.875,8.8125
