allocation,component,layer,head,regular_channels,outlier_channels,regular_bits,outlier_bits,index_bpe,packed_index_bytes,norm_bytes,alignment_bytes,effective_bpe
uniform2,key,5,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,5,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,5,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,5,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,6,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,6,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,6,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,6,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,6,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,6,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,6,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,6,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,7,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,7,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,7,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,7,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,7,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,7,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,7,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,7,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,8,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,8,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,8,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,8,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,8,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,8,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,8,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,8,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,9,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,9,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,9,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,9,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,9,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,9,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,9,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,9,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,10,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,10,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,10,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,10,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,10,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,10,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,10,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,10,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,11,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,11,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,11,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,11,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,11,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,11,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,11,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,11,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,12,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,12,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,12,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,12,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,12,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,12,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,12,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,12,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,13,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,13,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,13,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,13,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,13,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,13,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,13,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,13,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,14,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,14,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,14,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,14,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,14,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,14,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,14,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,14,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,15,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,15,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,15,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,15,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,15,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,15,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,15,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,15,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,16,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,16,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,16,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,16,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,16,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,16,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,16,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,16,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,17,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,17,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,17,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,17,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,17,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,17,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,17,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,17,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,18,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,18,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,18,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,18,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,18,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,18,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,18,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,18,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,19,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,19,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,19,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,19,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,19,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,19,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,19,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,19,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,20,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,20,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,20,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,20,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,20,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,20,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,20,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,20,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,21,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,21,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,21,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,21,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,21,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,21,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,21,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,21,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,22,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,22,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,22,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,22,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,22,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,22,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,22,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,22,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,23,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,23,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,23,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,23,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,23,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,23,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,23,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,23,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,24,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,24,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,24,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,24,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,24,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,24,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,24,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,24,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,25,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,25,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,25,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,25,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,25,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,25,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,25,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,25,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,26,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,26,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,26,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,26,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,26,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,26,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,26,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,26,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,27,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,27,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,27,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,27,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,27,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,27,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,27,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,27,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,28,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,28,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,28,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,28,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,28,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,28,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,28,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,28,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,29,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,29,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,29,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,29,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,29,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,29,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,29,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,29,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,30,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,30,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,30,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,30,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,30,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,30,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,30,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,30,7,128,0,2,,2.0,32,2,0,2.125
uniform2,key,31,0,128,0,2,,2.0,32,2,0,2.125
uniform2,key,31,1,128,0,2,,2.0,32,2,0,2.125
uniform2,key,31,2,128,0,2,,2.0,32,2,0,2.125
uniform2,key,31,3,128,0,2,,2.0,32,2,0,2.125
uniform2,key,31,4,128,0,2,,2.0,32,2,0,2.125
uniform2,key,31,5,128,0,2,,2.0,32,2,0,2.125
uniform2,key,31,6,128,0,2,,2.0,32,2,0,2.125
uniform2,key,31,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,0,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,0,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,0,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,0,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,0,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,0,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,0,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,0,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,1,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,1,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,1,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,1,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,1,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,1,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,1,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,1,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,2,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,2,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,2,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,2,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,2,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,2,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,2,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,2,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,3,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,3,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,3,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,3,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,3,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,3,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,3,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,3,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,4,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,4,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,4,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,4,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,4,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,4,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,4,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,4,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,5,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,5,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,5,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,5,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,5,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,5,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,5,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,5,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,6,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,6,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,6,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,6,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,6,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,6,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,6,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,6,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,7,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,7,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,7,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,7,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,7,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,7,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,7,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,7,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,8,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,8,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,8,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,8,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,8,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,8,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,8,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,8,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,9,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,9,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,9,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,9,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,9,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,9,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,9,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,9,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,10,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,10,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,10,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,10,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,10,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,10,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,10,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,10,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,11,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,11,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,11,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,11,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,11,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,11,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,11,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,11,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,12,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,12,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,12,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,12,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,12,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,12,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,12,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,12,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,13,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,13,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,13,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,13,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,13,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,13,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,13,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,13,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,14,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,14,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,14,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,14,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,14,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,14,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,14,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,14,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,15,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,15,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,15,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,15,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,15,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,15,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,15,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,15,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,16,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,16,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,16,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,16,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,16,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,16,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,16,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,16,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,17,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,17,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,17,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,17,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,17,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,17,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,17,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,17,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,18,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,18,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,18,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,18,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,18,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,18,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,18,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,18,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,19,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,19,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,19,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,19,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,19,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,19,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,19,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,19,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,20,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,20,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,20,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,20,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,20,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,20,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,20,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,20,7,128,0,2,,2.0,32,2,0,2.125
uniform2,value,21,0,128,0,2,,2.0,32,2,0,2.125
uniform2,value,21,1,128,0,2,,2.0,32,2,0,2.125
uniform2,value,21,2,128,0,2,,2.0,32,2,0,2.125
uniform2,value,21,3,128,0,2,,2.0,32,2,0,2.125
uniform2,value,21,4,128,0,2,,2.0,32,2,0,2.125
uniform2,value,21,5,128,0,2,,2.0,32,2,0,2.125
uniform2,value,21,6,128,0,2,,2.0,32,2,0,2.125
uniform2,value,21,7,128,0,2,,2.0,32,2,0,2.125
